Player,G,PTS,FGA,FGM,FG%,3PA,3PM,3P%,FTA,FTM,FT%,DEF,OFF,REB,AST,BLK,STL,TO,TeamID
Olivia Thompson,27,207,195,88,45.1,0,0,0.0,45,31,68.9,78,39,117,14,5,8,30,7817
Shanavia Dowdell,5,40,45,19,42.2,1,0,0.0,2,2,100.0,17,10,27,7,2,2,11,7817
Micaela Cocks,27,234,219,83,37.9,64,27,42.2,51,41,80.4,36,8,44,47,1,2,38,7817
Casey Lockwood,11,19,17,6,35.3,3,1,33.3,8,6,75.0,8,7,15,4,0,2,6,7817
Yinka Olorunnife,4,2,3,1,33.3,0,0,0.0,0,0,0.0,2,3,5,1,1,0,0,7817
Jessica Adair,19,200,159,81,50.9,0,0,0.0,55,38,69.1,99,40,139,10,20,23,46,7817
Kelly Bowen,16,43,38,17,44.7,10,1,10.0,10,8,80.0,29,12,41,7,0,7,11,7817
Keely Froling,1,1,1,0,0.0,0,0,0.0,4,1,25.0,0,0,0,0,0,0,1,7817
Funda Nakkasoglu,10,25,23,9,39.1,3,3,100.0,5,4,80.0,5,1,6,10,0,2,3,7812
Hollie Florance,24,152,150,63,42.0,71,23,32.4,6,3,50.0,108,56,164,52,38,5,32,7812
Emma McDonald,14,86,86,36,41.9,11,2,18.2,18,12,66.7,42,19,61,20,4,7,25,7812
Elyse Penaluna,18,205,190,90,47.4,6,1,16.7,36,24,66.7,60,32,92,27,21,13,25,7812
Kerryn Harrington,23,82,87,26,29.9,48,16,33.3,20,14,70.0,18,0,18,20,2,10,24,7812
Alice Kunek,24,313,266,112,42.1,87,37,42.5,76,52,68.4,86,39,125,28,4,11,58,7812
Rachel Jarry,24,340,319,120,38.0,31,6,19.0,132,94,71.0,89,83,172,69,22,24,73,7812
